handle,title,sourceStatus,variants,media,collections,tags,minPriceUsd,compareAt,hasDescription,ownedTagPropio
primebuild-adjustable-wrist-strengthener,"PrimeBuild™ Adjustable Wrist Strengthener – Grip & Forearm Trainer",ACTIVE,1,1,6,6,39.99,,yes,
primebuild-forearm-grip-strength-trainer,"PrimeBuild™ Forearm & Grip Strength Trainer – Arm Wrestling Wrist Exerciser",ACTIVE,1,1,5,5,59.99,,yes,
primebuild-home-gym-door-anchor-system,"PrimeBuild™ Heavy-Duty Door Anchor Pulley – Resistance Band & Mobility Trainer",ACTIVE,1,1,5,5,49.99,,yes,
primebuild-adjustable-split-stretch-machine,"PrimeBuild™ Adjustable Split Stretch Machine – Leg Flexibility Trainer",ACTIVE,1,1,4,4,149.99,,yes,
primebuild-barbell-pad-training-kit,"PrimeBuild™ Barbell Pad Training Kit – 10-Piece Hip Thrust & Strength Set",ACTIVE,1,1,5,5,59.99,,yes,
primebuild-4-wheel-ab-roller,"PrimeBuild™ 4-Wheel Ab Roller – Automatic Rebound Core Trainer",ACTIVE,1,1,5,5,79.99,,yes,
primebuild-fabric-booty-bands,"PrimeBuild™ Fabric Booty Bands – Lower Body Resistance Training Bands",ACTIVE,1,1,5,5,24.99,,yes,
primebuild-speed-agility-training-kit,"PrimeBuild™ Speed & Agility Training Kit – Complete Athletic Performance Set",ACTIVE,1,1,0,5,69.99,,yes,
primebuild-smart-music-boxing-trainer,"PrimeBuild™ Smart Music Boxing Trainer – Bluetooth Wall-Mounted Punching Machine",ACTIVE,1,1,5,5,129.99,,yes,
primebuild-suction-cup-boxing-trainer,"PrimeBuild™ Desktop Punching Ball – Suction Cup Boxing Trainer",ACTIVE,1,1,4,4,69.99,,yes,
primebuild-boxing-reflex-ball-set,"PrimeBuild™ Boxing Reflex Ball Set – Speed & Reaction Training Kit",ACTIVE,1,1,4,4,29.99,,yes,
primebuild-gel-hand-wrap-pads,"PrimeBuild™ Boxing Gel Knuckle Guards – Protective Hand Wrap Pads",ACTIVE,1,1,4,4,34.99,,yes,
primebuild-boxing-training-kit,"PrimeBuild™ Boxing Training Kit – Complete 14-Piece Sparring Set",ACTIVE,1,1,4,4,89.99,,yes,
primebuild-digital-gym-timer,"PrimeBuild™ Digital Gym Timer – Interval Workout Clock",ACTIVE,1,1,5,5,69.99,,yes,
tennis-racket-grip-tape-30-pack-precut-sweat-absorbent-anti-slip-tennis-grip-tape-racket-grip-tape-for-tennis-pingpong-golf-badminton-improve-grip-feel,"Tennis Racket Grip Tape, 30 Pack Precut Sweat Absorbent anti Slip Tennis Grip Tape - Racket Grip Tape for Tennis, Pingpong, Golf, Badminton, Improve Grip Feel",ACTIVE,1,1,0,0,12.67,,yes,
primebuild-premium-chalk-ball,"PrimeBuild™ Chalk Ball – Premium Grip Chalk for Training & Climbing",ACTIVE,1,1,6,6,39.99,,yes,
primebuild-climbing-chalk-bag,"PrimeBuild™ Chalk Bag – Climbing & Weightlifting Chalk Pouch",ACTIVE,1,1,6,6,29.99,,yes,
primebuild-magnetic-gym-chalk-holder,"PrimeBuild™ Magnetic Gym Chalk Holder – Weightlifting Chalk Bowl",ACTIVE,1,1,5,5,39.99,,yes,
primebuild-olympic-barbell-collars,"PrimeBuild™ Olympic Barbell Collars – Quick Release Locking Clamps",ACTIVE,1,1,5,5,39.99,,yes,
primebuild-wall-mounted-landmine-attachment,"PrimeBuild™ Wall Mounted Landmine Attachment – Olympic Bar T-Bar Trainer",ACTIVE,1,1,5,5,69.99,,yes,
primebuild-adjustable-t-bar-row-handle,"PrimeBuild™ T-Bar Row Handle – Adjustable Landmine Grip Attachment",ACTIVE,1,0,5,5,54.99,,yes,
primebuild-landmine-attachment-system,"PrimeBuild™ Landmine Attachment – T-Bar Row & Belt Squat System",ACTIVE,1,1,5,5,119.99,,yes,
primebuild-cable-machine-attachment-set,"PrimeBuild™ Cable Machine Attachment Set – LAT Pulldown & Strength Training Kit",ACTIVE,1,0,5,5,79.99,,yes,
primebuild-wall-mount-gym-storage-rack,"PrimeBuild™ Wall Mount Gym Storage Rack – LAT Attachment Organizer",ACTIVE,1,0,5,5,35.68,,yes,
primebuild-adjustable-weight-bench,"PrimeBuild™ Adjustable Weight Bench – Foldable Home Gym Bench",ACTIVE,1,0,5,5,74.52,,yes,
primebuild-combat-resistance-training-set,"PrimeBuild™ Combat Resistance Training Set – Speed & Agility System",ACTIVE,1,1,5,5,79.99,,yes,
primebuild-magnetic-gym-phone-holder,"PrimeBuild™ Magnetic Gym Phone Holder – Workout MagSafe Mount",ACTIVE,1,1,4,4,29.99,,yes,
primebuild-sport-wireless-earbuds,"PrimeBuild™ Sport Wireless Earbuds – Bluetooth 5.4 Fitness Headphones",ACTIVE,1,1,0,6,79.99,,yes,
primebuild-digital-food-scale,"PrimeBuild™ Digital Food Scale – Precision Kitchen Nutrition Scale",ACTIVE,1,1,2,2,29.99,,yes,
primebuild-portable-usb-blender,"PrimeBuild™ Portable Blender – USB Rechargeable Smoothie & Protein Mixer",ACTIVE,1,1,5,5,44.99,,yes,
primebuild-electric-protein-shaker-bottle,"PrimeBuild™ Electric Protein Shaker Bottle – USB Rechargeable Mixer Cup",ACTIVE,2,2,5,5,39.99,,yes,
primebuild-mini-pedal-exerciser,"PrimeBuild™ Mini Pedal Exerciser – Under Desk Exercise Bike",ACTIVE,1,1,5,5,99.99,,yes,
primebuild-foldable-treadmill-mat,"PrimeBuild™ Foldable Treadmill Mat – Non-Slip Floor Protection Pad",ACTIVE,1,1,3,3,49.99,,yes,
primebuild-foldable-walking-pad-treadmill,"PrimeBuild™ Foldable Walking Pad Treadmill – 3.5HP Home Cardio Trainer",ACTIVE,1,1,0,5,249.99,,yes,
primebuild-adjustable-hand-grip-strengthener,"PrimeBuild™ Adjustable Hand Grip Strengthener – Grip & Forearm Trainer",ACTIVE,3,0,6,6,24.99,,yes,
primebuild-kids-anti-fog-swim-goggles,"PrimeBuild™ Kids Swim Goggles – Anti-Fog Performance Swimming Goggles",ACTIVE,1,1,1,1,32.49,,yes,YES
primebuild-mens-quick-dry-compression-shirt,"PrimeBuild™ Men's Compression Performance Shirt – Quick-Dry Training Tee",ACTIVE,23,4,8,9,29.99,,yes,
primebuild-performance-swim-goggles,"PrimeBuild™ Performance Swim Goggles – Anti-Fog Wide View Swimming Goggles",ACTIVE,1,0,4,4,24.99,,yes,
primebuild-hydration-running-belt,"PrimeBuild™ Hydration Running Belt – Waterproof Waist Pack with Bottle Holder",ACTIVE,1,1,6,6,29.99,,yes,
primebuild-bounce-free-running-belt,"PrimeBuild™ Bounce-Free Running Belt – Performance Phone Waist Pack",ACTIVE,1,1,7,7,29.99,,yes,
primebuild-long-fabric-resistance-bands,"PrimeBuild™ Fabric Resistance Bands – Long Stretch Training Bands",ACTIVE,1,0,6,6,29.99,,yes,
primebuild-slim-running-belt,"PrimeBuild™ Slim Running Belt – Lightweight Phone & Essentials Waist Pack",ACTIVE,1,1,5,5,32.99,,yes,
primebuild-workout-gloves-wrist-support,"PrimeBuild™ Workout Gloves – Padded Weight Lifting Gloves with Wrist Support",ACTIVE,12,3,6,6,34.99,,yes,
primebuild-mens-y-back-stringer-tank,"PrimeBuild™ Men's Y-Back Stringer Tank – Bodybuilding Training Vest",ACTIVE,1,1,0,1,33.73,,yes,YES
primebuild-weight-lifting-wrist-straps,"PrimeBuild™ Weight Lifting Wrist Straps – Heavy Duty Grip Support",ACTIVE,1,1,6,6,19.99,,yes,
primebuild-11-piece-resistance-bands-set,"PrimeBuild™ 11-Piece Resistance Bands Set – Complete Strength Training Kit",ACTIVE,1,0,5,5,39.99,,yes,
